Week,Home,Away,HomeScore,AwayScore,Margin,Predicted_Prob,Correct,Vegas,Elo_Diff,QB_Diff,EPA_Diff,HomeRest,AwayRest,HomeTurnovers,AwayTurnovers,Regimes
7,WAS,CAR,40.0,7.0,33.0,0.99274214871422,True,-10.0,107.6753179698917,39.39468454978987,36.33058166503906,7,7,0.0,2.0,"BLOWOUT_EXPECTED,MID_SEASON"
7,SF,KC,18.0,28.0,10.0,0.013843587607100707,True,-2.5,-95.21059226470948,-46.97173792842068,-8.266234427690506,10,13,3.0,2.0,"CLOSE_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
7,PIT,NYJ,37.0,15.0,22.0,0.9609722760000776,True,3.0,72.68811421317832,18.96271283033184,12.69550359249115,7,6,0.0,2.0,"MEDIUM_SPREAD,MID_SEASON,MINOR_REST_ADVANTAGE"
7,TB,BAL,31.0,41.0,10.0,0.10268141324546666,True,4.5,-3.810379693718687,-3.328117611035168,-15.890860676765442,8,8,2.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
7,ARI,LAC,17.0,15.0,2.0,0.07076374103746572,False,1.0,-69.51036395419987,-30.065640342206507,-9.894328564405441,8,8,1.0,1.0,"CLOSE_GAME,MID_SEASON"
8,LA,MIN,30.0,20.0,10.0,0.3350077170485998,False,3.0,-104.2927751099985,-54.544474471071,4.379488468170166,4,4,1.0,0.0,"MEDIUM_SPREAD,MID_SEASON"
8,CIN,PHI,17.0,37.0,20.0,0.07166981053824785,True,-2.5,-36.94575451472451,-24.753596111367642,-15.752270460128784,7,7,2.0,0.0,"CLOSE_GAME,MID_SEASON"
8,CLE,BAL,29.0,24.0,5.0,0.03377553895395449,False,7.5,-138.3427651520267,-32.30366410438296,4.143603324890137,7,6,1.0,0.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON,MINOR_REST_ADVANTAGE"
8,DET,TEN,52.0,14.0,38.0,0.9468010241723156,True,-12.5,155.27894825949215,49.468527255894514,17.15148639678955,7,7,0.0,4.0,"BLOWOUT_EXPECTED,MID_SEASON"
8,HOU,IND,23.0,20.0,3.0,0.7171919312410948,True,-5.0,21.840790916909327,27.370845464694185,0.9508945941925049,7,7,1.0,2.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON"
8,JAX,GB,27.0,30.0,3.0,0.23325447869096946,True,3.5,-94.60903379230604,-35.54327289238336,-1.4551211595535278,7,7,2.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
8,MIA,ARI,27.0,28.0,1.0,0.33405040850801004,True,-4.0,-26.58742416121845,-0.3261726226674,-5.878613770008087,7,6,0.0,0.0,"MEDIUM_SPREAD,MID_SEASON,MINOR_REST_ADVANTAGE"
8,NE,NYJ,25.0,22.0,3.0,0.05119755484247321,False,7.0,-38.04823810044536,7.675885677419501,-5.4505733251571655,7,7,0.0,0.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON"
8,TB,ATL,26.0,31.0,5.0,0.18967724485678886,True,1.5,-3.5480161002622026,-0.8035751555746629,-9.81359276175499,6,7,3.0,0.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON,MINOR_REST_ADVANTAGE"
8,LAC,NO,26.0,8.0,18.0,0.6666681921434163,True,-7.0,63.478081430240536,22.41015682121747,13.420672416687012,6,10,0.0,0.0,"BLOWOUT_EXPECTED,MID_SEASON,MAJOR_REST_ADVANTAGE"
8,SEA,BUF,10.0,31.0,21.0,0.022696098848114066,True,3.0,-39.00108913832446,-20.544843121423355,-26.742029905319214,7,7,1.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
8,DEN,CAR,28.0,14.0,14.0,0.9289221067820147,True,-13.0,108.20793885609032,31.703446197727317,21.66035032272339,10,7,2.0,2.0,"BLOWOUT_EXPECTED,MID_SEASON,MAJOR_REST_ADVANTAGE"
8,LV,KC,20.0,27.0,7.0,0.0014078251241807303,True,9.0,-140.54179797225743,-76.24427639964142,-13.208911895751953,7,7,1.0,1.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON"
8,WAS,CHI,18.0,15.0,3.0,0.9342128888204849,True,-1.5,26.88196428494416,10.113902124014885,14.343958973884583,7,14,0.0,1.0,"CLOSE_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
8,SF,DAL,30.0,24.0,6.0,0.7380042611517376,True,-5.5,-17.73937254947259,-10.303787405658795,11.553481340408325,7,14,0.0,2.0,"MEDIUM_SPREAD,MID_SEASON,MAJOR_REST_ADVANTAGE"
8,PIT,NYG,26.0,18.0,8.0,0.9001697740765602,True,-6.0,107.57235213994863,37.64439014610002,1.2196931838989258,8,8,1.0,2.0,"MEDIUM_SPREAD,MID_SEASON"
9,NYJ,HOU,21.0,13.0,8.0,0.5070283661625152,True,-2.5,-141.20696903362114,-72.66946893951172,6.243409633636475,4,4,0.0,1.0,"CLOSE_GAME,MID_SEASON"
9,ATL,DAL,27.0,21.0,6.0,0.8946393683655,True,-3.0,59.78835647713868,28.240658389600412,5.8254714012146,7,7,1.0,0.0,"MEDIUM_SPREAD,MID_SEASON"
